CGPA,Aptitude,Communication,Projects,Internship,Certifications,Placement
6.23,63,67,3,Yes,3,Yes
9.04,59,51,9,No,7,Yes
6.44,95,75,2,No,8,Yes
8.34,76,64,0,No,3,Yes
7.48,45,51,2,Yes,4,Yes
9.73,53,55,5,No,7,Yes
7.95,65,73,6,Yes,2,Yes
5.54,96,57,7,No,5,Yes
7.99,100,87,1,No,0,Yes
9.47,69,84,9,Yes,7,Yes
8.18,87,31,8,Yes,5,Yes
6.71,35,65,3,No,4,Yes
8.4,94,64,8,No,8,Yes
7.14,35,42,6,Yes,2,Yes
5.39,45,96,2,Yes,6,Yes
4.92,43,74,3,No,5,Yes
9.3,74,57,7,No,5,Yes
8.13,74,93,0,Yes,3,Yes
7.81,90,31,2,Yes,8,Yes
8.53,64,59,9,No,3,Yes
5.83,65,51,5,Yes,5,Yes
6.77,34,51,0,Yes,4,Yes
8.26,93,43,10,Yes,8,Yes
9.26,45,85,3,No,8,Yes
7.2,51,56,0,Yes,0,Yes
4.57,89,46,3,Yes,3,Yes
7.34,59,36,1,Yes,4,Yes
9.67,53,69,4,No,1,Yes
4.69,38,100,0,Yes,8,Yes
8.74,48,96,3,Yes,8,Yes
5.82,77,42,2,Yes,6,Yes
7.52,78,86,0,Yes,4,Yes
9.58,90,91,6,No,5,Yes
9.09,66,64,8,Yes,3,Yes
4.66,42,80,2,Yes,1,No
9.81,86,31,9,No,1,Yes
7.55,52,61,1,No,1,Yes
5.17,35,58,6,Yes,2,Yes
9.66,58,38,6,No,2,Yes
7.8,72,59,1,No,5,Yes
9.62,53,35,10,No,0,Yes
9.49,47,91,8,Yes,8,Yes
8.6,69,50,9,Yes,4,Yes
7.79,62,61,5,No,1,Yes
7.64,90,36,9,Yes,2,Yes
5.14,48,44,6,Yes,4,Yes
6.21,32,80,4,No,4,Yes
7.65,48,45,4,No,4,Yes
9.44,75,52,9,Yes,6,Yes
4.79,79,93,1,No,6,Yes
8.18,77,47,6,Yes,8,Yes
6.79,97,54,3,Yes,0,Yes
6.85,69,92,4,Yes,4,Yes
5.62,48,50,9,No,6,Yes
7.75,50,45,4,No,2,Yes
7.22,49,82,9,Yes,3,Yes
6.69,47,30,10,No,5,Yes
6.47,52,60,1,Yes,8,Yes
6.68,55,70,2,Yes,7,Yes
5.26,78,37,8,No,5,Yes
7.32,76,41,0,No,1,Yes
6.35,52,34,6,No,5,Yes
8.19,82,39,9,Yes,5,Yes
4.94,30,74,4,No,2,Yes
6.78,71,66,7,No,7,Yes
7.52,95,83,5,Yes,8,Yes
7.88,32,68,5,No,3,Yes
8.69,91,36,0,No,0,Yes
6.35,80,92,4,Yes,2,Yes
9.61,97,54,0,Yes,5,Yes
8.01,72,59,10,Yes,4,Yes
5.75,68,49,0,Yes,8,Yes
5.02,94,58,5,No,4,Yes
7.62,82,85,9,No,6,Yes
5.02,60,89,6,No,7,Yes
5.68,40,74,7,No,8,Yes
9.47,50,58,7,No,5,Yes
5.67,66,89,1,Yes,7,Yes
6.78,73,37,4,Yes,5,Yes
4.74,57,58,1,No,3,No
6.84,72,43,9,Yes,2,Yes
9.05,67,41,4,Yes,5,Yes
7.02,98,40,7,No,0,Yes
5.41,70,74,10,Yes,2,Yes
5.46,48,49,5,No,4,Yes
5.78,30,41,2,No,4,No
8.7,95,61,7,Yes,1,Yes
7.25,51,95,2,Yes,1,Yes
8.12,63,79,6,Yes,4,Yes
5.85,55,97,4,No,3,Yes
9.23,38,82,9,Yes,5,Yes
9.22,47,35,2,No,4,Yes
7.22,65,41,10,No,1,Yes
8.93,33,37,10,Yes,6,Yes
5.54,54,86,5,Yes,1,Yes
5.99,64,58,6,Yes,1,Yes
5.84,61,94,9,Yes,4,Yes
6.98,73,92,6,No,3,Yes
8.67,35,70,5,No,6,Yes
7.92,72,39,9,Yes,8,Yes
8.71,39,97,5,No,8,Yes
5.74,99,94,1,No,3,Yes
6.29,42,64,4,No,6,Yes
4.71,64,43,6,Yes,2,Yes
5.99,40,64,3,Yes,5,Yes
8.04,45,48,0,No,8,Yes
9.36,48,32,7,No,7,Yes
5.88,46,72,2,No,6,Yes
7.53,41,57,9,No,0,Yes
6.62,67,47,0,No,1,Yes
6.73,85,55,2,No,5,Yes
6.03,45,66,7,Yes,7,Yes
7.93,79,84,8,Yes,0,Yes
5.22,73,66,4,Yes,0,Yes
9.26,60,30,8,Yes,8,Yes
9.22,83,92,3,Yes,6,Yes
9.55,39,85,6,No,5,Yes
6.26,41,51,6,No,3,Yes
8.11,98,66,8,No,8,Yes
9.25,55,59,1,Yes,5,Yes
8.64,72,53,7,Yes,3,Yes
8.07,73,32,2,No,1,Yes
4.79,96,70,2,No,4,Yes
6.21,62,40,3,Yes,8,Yes
7.75,47,48,6,No,7,Yes
6.69,43,54,1,No,6,Yes
5.2,81,88,4,Yes,2,Yes
8.8,88,69,1,Yes,2,Yes
8.61,33,73,4,Yes,8,Yes
7.23,60,72,0,Yes,8,Yes
5.7,30,31,8,No,6,Yes
9.61,74,33,1,Yes,6,Yes
7.57,72,89,8,No,8,Yes
8.13,99,31,7,No,6,Yes
6.51,34,52,7,Yes,0,Yes
5.24,63,49,5,No,2,Yes
6.46,57,75,9,No,2,Yes
7.22,42,97,5,Yes,6,Yes
5.23,96,82,10,No,3,Yes
4.89,52,67,0,Yes,3,No
8.03,85,39,5,No,4,Yes
9.44,39,58,8,Yes,4,Yes
9.27,85,47,0,Yes,2,Yes
8.7,100,87,6,No,2,Yes
8.37,61,80,10,Yes,8,Yes
8.34,42,72,8,Yes,3,Yes
7.81,83,88,10,Yes,5,Yes
9.54,89,73,10,No,1,Yes
6.07,53,36,6,Yes,4,Yes
8.38,98,79,10,Yes,3,Yes
6.32,86,42,8,Yes,4,Yes
8.21,98,65,4,Yes,8,Yes
7.73,77,72,8,No,6,Yes
7.99,48,99,1,Yes,7,Yes
9.14,69,66,6,Yes,6,Yes
8.36,50,35,5,No,1,Yes
8.55,86,61,10,No,3,Yes
8.96,75,63,5,No,1,Yes
8.46,62,60,10,Yes,5,Yes
6.42,44,69,5,Yes,8,Yes
6.88,48,77,1,No,1,Yes
9.01,77,36,2,No,4,Yes
7.81,65,83,9,Yes,4,Yes
4.66,46,53,6,No,2,No
4.8,47,90,10,Yes,2,Yes
8.18,89,33,2,Yes,4,Yes
8.63,76,91,4,No,3,Yes
5.24,64,79,3,Yes,4,Yes
8.66,79,49,2,Yes,8,Yes
7.65,96,43,6,Yes,6,Yes
5.65,62,100,5,No,1,Yes
5.58,95,54,4,No,2,Yes
9.8,100,37,9,No,4,Yes
6.88,73,49,9,Yes,4,Yes
9.51,78,61,0,Yes,3,Yes
6.11,54,52,10,No,1,Yes
8.17,95,74,10,Yes,1,Yes
7.79,50,57,1,No,8,Yes
9.8,86,40,7,Yes,6,Yes
5.74,48,75,3,No,6,Yes
8.45,55,37,4,Yes,7,Yes
6.71,83,42,5,No,7,Yes
5.89,91,90,0,Yes,7,Yes
8.95,95,53,10,No,4,Yes
7.74,32,45,7,No,7,Yes
9.2,83,49,6,Yes,6,Yes
8.31,98,44,3,Yes,6,Yes
5.97,45,65,2,No,3,Yes
8.43,32,92,0,No,4,Yes
8.11,85,71,8,No,0,Yes
6.26,99,100,1,No,4,Yes
5.4,40,76,5,Yes,1,Yes
9.34,43,61,4,No,4,Yes
9.74,49,96,0,No,7,Yes
6.32,95,74,8,No,8,Yes
9.8,94,39,1,No,4,Yes
6.3,100,54,3,No,5,Yes
9.86,54,87,6,No,8,Yes
7.99,62,76,0,No,2,Yes
5.35,92,70,1,No,6,Yes
8.63,77,74,7,Yes,0,Yes
7.3,63,75,9,Yes,1,Yes
5.93,72,84,7,No,6,Yes
4.84,58,96,8,Yes,4,Yes
8.3,37,37,2,No,1,Yes
5.46,92,59,3,No,0,No
4.97,70,87,9,Yes,1,Yes
7.69,44,76,2,No,1,Yes
9.57,45,63,9,No,1,Yes
5.97,78,75,2,Yes,3,Yes
9.45,51,50,1,Yes,2,Yes
9.39,84,79,8,No,2,Yes
4.97,54,52,10,Yes,5,Yes
4.91,33,32,2,No,1,No
9.03,81,82,3,Yes,7,Yes
7.4,99,90,5,Yes,2,Yes
5.26,84,30,8,No,2,Yes
4.7,88,85,5,No,0,Yes
5.08,82,50,7,No,7,Yes
9.77,58,61,0,No,8,Yes
5.09,45,42,2,Yes,1,No
9.13,51,48,7,No,0,Yes
8.77,46,74,0,Yes,2,Yes
6.25,95,91,8,Yes,3,Yes
4.68,73,73,3,Yes,8,Yes
9.8,93,77,5,No,4,Yes
9.44,68,62,1,Yes,3,Yes
8.15,86,76,2,No,3,Yes
8.71,54,68,0,No,2,Yes
8.1,89,65,1,No,3,Yes
6.85,40,97,1,No,0,Yes
9.06,58,91,4,Yes,4,Yes
6.1,69,41,7,No,1,Yes
6.54,63,55,3,Yes,8,Yes
9.46,97,91,10,No,2,Yes
5.38,53,72,4,No,2,Yes
7.33,51,73,10,Yes,1,Yes
9.42,55,48,6,Yes,3,Yes
7.38,59,96,10,No,1,Yes
9.16,64,78,4,Yes,0,Yes
7.73,53,75,9,Yes,8,Yes
8.35,32,89,9,No,4,Yes
7.18,98,36,10,No,4,Yes
9.19,56,85,7,Yes,3,Yes
9.55,35,98,9,No,0,Yes
8.37,65,95,2,No,3,Yes
9.14,70,74,4,Yes,7,Yes
5.19,48,85,5,Yes,0,Yes
7.73,73,94,10,Yes,3,Yes
6.31,98,49,9,Yes,0,Yes
7.17,46,67,1,No,7,Yes
6.69,53,72,4,No,3,Yes
8.19,58,41,7,No,6,Yes
7.21,73,98,7,No,1,Yes
9.8,38,86,6,Yes,4,Yes
7.99,62,65,10,Yes,8,Yes
8.8,89,52,2,No,3,Yes
7.3,65,65,5,No,8,Yes
5.09,85,90,4,No,4,Yes
8.8,35,71,3,No,8,Yes
7.64,47,86,5,Yes,4,Yes
9.54,88,57,0,No,6,Yes
9.88,81,92,7,Yes,0,Yes
7.06,94,34,0,No,5,Yes
8.5,41,90,10,Yes,8,Yes
5.47,67,99,3,Yes,8,Yes
6.38,77,84,6,Yes,0,Yes
8.67,88,48,6,Yes,3,Yes
6.29,70,98,1,Yes,0,Yes
4.52,53,48,2,No,1,No
9.17,62,56,3,Yes,5,Yes
6.81,53,77,5,Yes,7,Yes
5.21,48,73,6,Yes,7,Yes
5.79,31,35,5,No,8,Yes
9.56,42,64,0,No,1,Yes
6.98,90,54,8,No,5,Yes
7.71,97,99,10,No,7,Yes
5.58,98,62,6,No,5,Yes
5.71,92,90,2,Yes,1,Yes
5.41,73,77,7,No,5,Yes
9.67,40,69,1,No,6,Yes
5.6,71,61,5,Yes,5,Yes
5.44,91,52,2,No,8,Yes
6.45,32,87,2,Yes,8,Yes
7.51,57,66,9,Yes,6,Yes
4.8,84,63,0,Yes,7,Yes
7.08,73,50,0,Yes,0,Yes
7.46,93,48,6,Yes,6,Yes
9.16,46,77,9,No,8,Yes
6.02,53,80,1,No,5,Yes
5.61,98,66,8,No,7,Yes
6.21,97,77,4,Yes,2,Yes
8.58,86,89,5,Yes,5,Yes
7.3,49,35,7,Yes,3,Yes
4.71,36,77,7,No,2,Yes
4.65,34,74,10,No,0,No
7.77,79,34,6,Yes,4,Yes
7.0,50,51,5,No,7,Yes
5.69,41,41,8,No,3,Yes
5.22,45,62,5,No,6,Yes
7.28,63,94,9,Yes,8,Yes
6.33,39,43,5,Yes,7,Yes
5.54,60,34,1,No,6,No
9.33,36,98,8,No,3,Yes
6.58,35,40,10,Yes,8,Yes
8.43,92,94,7,No,4,Yes
8.27,84,100,7,Yes,6,Yes
4.83,48,55,3,No,0,Yes
9.95,56,54,0,Yes,6,Yes
5.84,93,85,0,No,6,Yes
6.82,84,90,7,No,7,Yes
7.6,77,87,3,Yes,0,Yes
8.94,99,34,8,Yes,4,Yes
7.74,81,51,5,Yes,0,Yes
5.5,56,86,7,No,2,Yes
5.24,30,42,9,No,8,Yes
7.54,32,67,2,No,0,Yes
6.27,44,92,1,Yes,6,Yes
5.5,36,45,5,Yes,0,No
4.67,55,78,6,No,4,Yes
5.6,43,30,2,No,3,Yes
4.97,56,40,0,Yes,5,Yes
8.97,55,38,3,No,4,Yes
7.17,85,57,4,No,2,Yes
9.26,71,89,4,Yes,2,Yes
8.87,46,42,10,No,4,Yes
6.48,57,99,8,No,3,Yes
7.92,50,88,2,No,2,Yes
5.65,35,62,9,Yes,2,Yes
9.16,42,76,3,Yes,2,Yes
6.29,63,53,6,Yes,7,Yes
9.97,36,46,8,Yes,8,Yes
6.47,52,50,7,No,3,Yes
5.48,39,33,4,No,0,No
8.13,53,42,0,Yes,1,Yes
4.76,31,71,4,Yes,4,Yes
4.85,41,85,5,Yes,6,Yes
8.15,53,46,5,No,0,Yes
7.92,72,37,8,No,0,Yes
7.06,38,89,8,Yes,3,Yes
6.5,79,74,6,No,3,Yes
5.15,80,48,2,No,6,Yes
4.55,50,80,8,No,6,Yes
8.45,97,30,1,No,7,Yes
8.76,70,84,10,Yes,6,Yes
9.29,57,81,4,Yes,1,Yes
8.57,95,43,4,No,7,Yes
8.87,57,60,6,Yes,5,Yes
5.56,33,82,7,Yes,7,Yes
6.92,69,41,2,Yes,0,Yes
6.37,62,78,7,Yes,5,Yes
9.85,44,49,8,No,1,Yes
5.27,83,43,8,No,3,Yes
8.46,67,86,0,Yes,5,Yes
5.96,92,60,7,Yes,3,Yes
7.62,39,100,2,Yes,4,Yes
8.51,47,68,1,No,8,Yes
6.22,49,63,5,No,3,Yes
8.76,55,89,3,Yes,1,Yes
6.29,81,92,4,No,3,Yes
9.13,30,59,6,No,0,Yes
8.15,79,48,10,Yes,8,Yes
8.68,49,65,3,Yes,8,Yes
8.2,35,80,1,Yes,8,Yes
7.0,68,78,0,Yes,3,Yes
6.24,34,70,4,No,6,Yes
6.89,60,85,5,Yes,1,Yes
7.89,61,68,3,No,2,Yes
6.34,94,43,3,No,8,Yes
9.71,98,71,8,No,1,Yes
6.2,45,33,8,Yes,4,Yes
7.95,69,99,4,Yes,6,Yes
5.69,52,55,2,Yes,7,Yes
8.77,94,57,6,Yes,1,Yes
6.96,67,36,2,No,3,Yes
5.31,81,73,7,Yes,2,Yes
7.64,92,42,0,No,4,Yes
6.45,34,72,3,No,5,Yes
5.85,47,73,9,Yes,0,Yes
5.86,42,36,2,No,1,Yes
6.65,98,39,0,No,8,Yes
4.63,53,56,10,No,0,Yes
9.76,86,49,0,No,2,Yes
8.5,80,75,6,Yes,0,Yes
8.56,45,30,7,No,0,Yes
8.21,79,42,2,Yes,7,Yes
8.44,63,100,10,Yes,5,Yes
9.0,60,43,1,No,3,Yes
7.62,38,37,4,No,7,Yes
7.29,75,59,3,Yes,8,Yes
6.39,91,92,2,Yes,8,Yes
4.57,67,59,4,Yes,8,Yes
7.86,39,36,7,Yes,2,Yes
6.68,83,93,7,No,7,Yes
6.83,94,58,2,No,8,Yes
9.07,97,92,2,Yes,5,Yes
5.24,96,37,8,No,1,Yes
5.49,80,69,7,No,4,Yes
7.33,51,65,9,No,1,Yes
7.75,60,63,3,No,5,Yes
7.02,80,88,6,No,6,Yes
9.06,90,84,10,Yes,4,Yes
8.89,71,66,2,No,5,Yes
6.75,39,95,0,Yes,3,Yes
5.72,97,94,10,Yes,8,Yes
8.35,55,78,9,Yes,5,Yes
4.64,67,57,3,No,3,No
5.85,37,97,3,Yes,6,Yes
6.4,83,33,1,No,8,Yes
6.54,49,69,7,No,8,Yes
6.23,94,74,7,Yes,6,Yes
5.6,73,81,10,Yes,4,Yes
6.91,58,46,5,No,7,Yes
5.06,69,61,10,Yes,1,Yes
9.86,90,60,0,No,5,Yes
4.58,57,44,3,No,7,No
8.26,72,32,10,No,6,Yes
7.13,85,88,7,Yes,2,Yes
9.54,34,62,0,No,1,Yes
4.84,86,38,6,No,7,Yes
4.53,68,90,3,No,0,Yes
5.54,42,87,4,No,5,Yes
8.56,30,40,6,No,1,Yes
9.44,75,56,9,No,2,Yes
9.39,66,98,10,No,3,Yes
6.01,55,93,4,No,3,Yes
8.36,33,74,7,Yes,3,Yes
7.67,39,44,3,No,2,Yes
6.46,94,40,1,No,6,Yes
6.52,36,38,2,Yes,2,Yes
8.0,95,76,3,Yes,8,Yes
4.65,34,76,1,Yes,1,No
7.67,95,59,9,No,1,Yes
6.34,49,51,2,Yes,3,Yes
7.96,49,66,8,No,0,Yes
6.91,97,44,4,Yes,8,Yes
7.28,89,90,6,Yes,2,Yes
4.82,46,70,5,Yes,7,Yes
4.87,76,80,6,Yes,5,Yes
6.08,57,71,6,Yes,4,Yes
9.86,96,85,5,Yes,6,Yes
5.42,57,68,4,No,1,Yes
6.5,93,33,9,Yes,8,Yes
8.42,40,30,10,Yes,5,Yes
6.56,98,88,1,Yes,4,Yes
6.86,100,95,5,No,3,Yes
6.16,58,52,8,Yes,2,Yes
9.96,70,36,0,Yes,7,Yes
8.47,77,92,8,Yes,0,Yes
9.45,63,37,9,Yes,7,Yes
9.75,52,75,1,Yes,1,Yes
8.43,71,86,10,Yes,8,Yes
7.76,34,70,2,Yes,2,Yes
6.1,54,50,10,No,0,Yes
5.78,79,67,7,No,2,Yes
4.82,68,70,5,Yes,0,Yes
9.09,72,36,10,Yes,2,Yes
6.93,63,84,0,Yes,5,Yes
4.7,44,97,8,No,6,Yes
5.93,59,43,5,Yes,5,Yes
6.67,54,71,10,Yes,1,Yes
4.96,76,46,0,No,4,No
8.25,50,97,3,No,2,Yes
6.99,74,66,0,Yes,2,Yes
7.47,32,96,9,No,2,Yes
9.82,35,77,0,No,5,Yes
7.26,57,40,0,No,6,Yes
8.65,87,64,10,No,0,Yes
8.31,60,44,1,Yes,6,Yes
9.86,95,40,10,Yes,7,Yes
7.74,66,71,6,Yes,7,Yes
4.75,52,38,5,No,6,Yes
5.65,82,45,5,No,4,Yes
7.3,65,88,1,Yes,3,Yes
5.26,70,52,5,No,7,Yes
5.66,76,37,9,No,2,Yes
6.24,88,84,6,No,8,Yes
8.37,44,42,4,Yes,8,Yes
5.37,38,61,7,No,2,Yes
8.73,37,52,1,No,6,Yes
4.92,66,55,6,Yes,4,Yes
5.67,47,73,7,No,6,Yes
7.87,72,100,4,Yes,0,Yes
4.82,32,55,8,No,0,Yes
7.91,49,46,0,Yes,3,Yes
5.19,33,89,5,No,4,Yes
9.97,79,66,9,Yes,8,Yes
8.64,74,44,1,Yes,8,Yes
5.21,65,82,4,No,8,Yes
5.67,79,36,7,Yes,6,Yes
9.02,59,96,4,Yes,2,Yes
9.76,44,92,6,No,6,Yes
9.15,43,39,5,No,2,Yes
7.85,34,47,10,No,6,Yes
6.31,31,71,4,No,6,Yes
5.63,94,68,2,No,0,Yes
8.22,86,67,10,No,6,Yes
9.48,72,39,9,Yes,4,Yes
7.73,56,71,5,Yes,4,Yes
9.01,40,85,10,No,8,Yes
7.24,60,55,4,Yes,0,Yes
6.69,38,92,4,Yes,8,Yes
9.88,37,53,3,No,6,Yes
4.54,48,57,2,Yes,8,Yes
8.1,56,82,4,Yes,2,Yes
6.36,33,46,6,No,6,Yes
6.97,89,46,3,Yes,2,Yes
8.84,41,31,3,No,1,Yes
8.56,70,38,8,No,7,Yes
6.91,30,36,2,Yes,4,Yes
9.73,91,36,0,Yes,8,Yes
5.48,36,43,4,Yes,0,Yes
7.81,86,73,3,Yes,8,Yes
5.73,84,50,6,No,5,Yes
7.61,37,45,0,Yes,6,Yes
7.46,87,31,7,Yes,7,Yes
8.78,71,67,9,No,1,Yes
9.59,35,85,10,No,0,Yes
6.02,91,33,5,No,3,Yes
7.31,89,86,5,No,1,Yes
5.71,48,66,4,No,2,Yes
7.99,39,38,10,No,4,Yes
7.21,72,50,2,No,3,Yes
7.83,30,97,6,Yes,1,Yes
5.02,76,56,1,Yes,3,Yes
8.96,73,69,0,Yes,7,Yes
4.59,30,61,7,No,7,Yes
7.03,64,41,3,Yes,4,Yes
9.19,76,79,1,Yes,1,Yes
6.53,44,46,5,Yes,2,Yes
8.92,99,49,10,No,7,Yes
8.33,82,52,8,Yes,5,Yes
5.99,78,52,3,No,3,Yes
8.42,78,80,8,No,7,Yes
5.08,98,88,8,No,8,Yes
4.6,31,85,3,No,4,No
9.54,81,61,4,No,6,Yes
7.66,75,90,9,Yes,6,Yes
9.38,41,59,0,Yes,2,Yes
5.73,89,40,4,No,4,Yes
7.91,41,44,4,Yes,2,Yes
4.65,99,42,7,No,8,Yes
4.88,58,83,7,No,1,Yes
6.03,50,61,7,Yes,3,Yes
8.36,94,43,2,Yes,2,Yes
5.0,96,86,4,Yes,6,Yes
6.51,92,43,3,No,5,Yes
5.57,59,51,9,No,6,Yes
7.77,40,93,3,No,7,Yes
4.83,75,85,3,No,4,Yes
4.84,58,36,8,No,3,Yes
7.24,38,100,0,Yes,8,Yes
4.73,73,36,6,No,5,Yes
9.67,100,70,0,No,6,Yes
6.19,49,55,5,No,6,Yes
8.08,56,100,1,Yes,6,Yes
6.5,85,68,3,Yes,2,Yes
7.27,76,57,4,No,7,Yes
7.82,71,70,4,No,1,Yes
7.95,100,47,0,No,1,Yes
7.29,40,93,4,Yes,3,Yes
8.17,74,79,3,Yes,1,Yes
7.52,68,36,1,No,7,Yes
5.88,92,49,4,No,6,Yes
8.42,100,94,5,Yes,5,Yes
8.04,75,71,4,No,0,Yes
6.13,36,80,3,No,2,No
7.68,62,56,1,Yes,5,Yes
9.63,50,48,10,Yes,5,Yes
7.43,85,81,3,Yes,0,Yes
9.99,37,88,3,Yes,8,Yes
9.63,90,46,9,No,1,Yes
9.95,45,97,0,No,2,Yes
8.53,93,35,3,No,5,Yes
5.45,57,52,0,Yes,6,Yes
7.1,75,72,1,Yes,3,Yes
7.21,67,81,1,No,3,Yes
7.25,75,93,10,Yes,1,Yes
5.06,59,94,6,Yes,5,Yes
8.99,39,54,5,No,0,Yes
8.17,32,68,1,No,7,Yes
8.63,99,42,1,No,2,Yes
8.34,82,62,2,Yes,4,Yes
7.62,45,61,3,No,0,Yes
5.04,68,45,2,Yes,4,Yes
6.93,49,96,7,Yes,6,Yes
7.66,97,71,4,Yes,3,Yes
8.51,52,72,4,No,1,Yes
5.99,95,50,9,Yes,4,Yes
9.6,95,54,6,Yes,2,Yes
9.57,41,35,0,No,4,Yes
6.69,36,74,5,No,0,Yes
6.63,59,79,6,Yes,2,Yes
7.09,63,57,4,Yes,8,Yes
5.63,46,95,8,No,3,Yes
4.59,96,31,3,No,2,Yes
6.87,47,96,1,No,3,Yes
6.85,44,52,6,No,7,Yes
9.24,92,35,7,Yes,5,Yes
4.93,80,69,4,No,3,Yes
9.12,98,96,0,No,8,Yes
9.05,66,58,7,No,4,Yes
6.67,91,70,0,No,1,Yes
6.31,100,94,8,Yes,8,Yes
5.14,42,80,4,No,6,Yes
5.25,60,71,5,Yes,1,Yes
4.6,86,89,3,No,6,Yes
4.68,42,94,5,Yes,1,Yes
6.34,93,30,7,No,4,Yes
9.46,60,41,4,Yes,7,Yes
5.68,35,94,0,Yes,5,Yes
8.86,69,70,9,No,2,Yes
8.23,39,92,3,No,4,Yes
6.05,65,53,3,Yes,2,Yes
8.4,90,33,5,No,0,Yes
7.72,94,56,10,Yes,6,Yes
7.95,69,84,1,No,1,Yes
5.53,81,41,3,Yes,2,Yes
8.98,54,63,10,No,0,Yes
5.02,88,98,9,Yes,1,Yes
7.39,59,49,4,Yes,0,Yes
9.45,68,37,10,No,4,Yes
6.68,96,63,5,No,6,Yes
8.15,42,89,6,No,3,Yes
8.17,77,85,10,No,7,Yes
6.45,91,76,9,No,4,Yes
8.99,34,66,9,Yes,2,Yes
9.12,33,81,7,No,1,Yes
7.16,70,39,3,Yes,4,Yes
7.52,46,84,9,Yes,1,Yes
8.17,42,31,5,Yes,5,Yes
5.26,52,33,8,No,0,No
6.94,39,75,7,No,3,Yes
6.52,52,36,4,Yes,8,Yes
9.57,39,39,2,No,2,Yes
8.21,61,71,3,No,1,Yes
7.92,89,57,8,No,6,Yes
4.53,49,85,9,Yes,7,Yes
9.74,45,85,8,No,2,Yes
9.51,62,47,3,Yes,4,Yes
7.85,40,53,4,Yes,6,Yes
9.99,88,37,7,No,6,Yes
5.75,100,30,10,No,8,Yes
5.19,53,40,10,Yes,3,Yes
5.79,84,39,9,Yes,6,Yes
6.41,41,64,3,No,6,Yes
9.35,47,66,8,No,1,Yes
7.83,86,55,8,Yes,6,Yes
7.34,45,43,4,Yes,7,Yes
6.28,89,66,4,Yes,5,Yes
6.28,69,94,6,Yes,7,Yes
6.82,46,54,9,No,2,Yes
6.19,89,88,8,Yes,1,Yes
6.26,67,88,3,Yes,7,Yes
9.62,88,35,4,No,0,Yes
7.98,82,39,0,No,8,Yes
7.41,49,62,2,No,7,Yes
7.06,79,74,7,No,8,Yes
9.35,32,82,9,No,2,Yes
8.37,94,80,9,No,2,Yes
7.35,89,47,0,No,3,Yes
5.96,53,83,4,No,0,Yes
6.72,98,69,8,Yes,3,Yes
9.77,83,70,3,No,6,Yes
6.03,91,41,8,No,2,Yes
6.42,76,31,2,No,0,Yes
7.69,55,95,6,No,0,Yes
4.81,98,100,1,No,0,Yes
8.67,49,56,3,No,3,Yes
9.11,43,32,3,No,4,Yes
4.6,68,78,7,Yes,4,Yes
4.96,44,70,1,No,4,Yes
5.76,34,78,3,Yes,0,Yes
9.12,88,46,2,Yes,5,Yes
7.68,88,52,6,No,7,Yes
6.3,80,50,7,Yes,0,Yes
6.49,80,51,9,No,2,Yes
9.13,67,93,2,No,7,Yes
7.3,37,73,4,Yes,2,Yes
8.5,89,54,8,Yes,6,Yes
7.54,41,70,0,No,3,Yes
9.83,53,74,5,Yes,4,Yes
6.59,79,34,8,Yes,7,Yes
9.99,34,81,6,No,6,Yes
7.77,62,45,10,No,5,Yes
8.13,97,51,10,Yes,0,Yes
7.03,56,51,8,No,1,Yes
7.68,53,80,1,No,7,Yes
7.28,74,71,4,No,1,Yes
4.95,98,75,1,Yes,5,Yes
7.17,42,34,6,Yes,3,Yes
7.54,68,37,0,Yes,0,Yes
8.46,68,70,9,No,8,Yes
7.67,30,57,10,No,6,Yes
8.51,46,68,2,No,2,Yes
9.49,31,56,5,Yes,4,Yes
8.14,47,97,10,Yes,2,Yes
6.06,71,42,3,No,5,Yes
6.21,33,66,7,No,2,Yes
6.81,45,95,7,No,5,Yes
6.35,30,90,4,Yes,2,Yes
6.56,60,39,6,No,6,Yes
5.14,84,94,9,No,1,Yes
9.65,100,42,9,Yes,0,Yes
8.7,91,73,8,Yes,3,Yes
7.98,40,93,5,Yes,8,Yes
9.73,53,45,2,No,2,Yes
4.81,97,75,10,No,8,Yes
9.02,68,36,9,No,3,Yes
6.87,67,58,1,No,2,Yes
9.94,71,36,7,Yes,0,Yes
5.45,46,37,5,Yes,0,No
6.41,87,85,9,No,8,Yes
6.29,63,67,0,No,1,No
8.12,78,75,5,Yes,6,Yes
9.69,60,65,3,No,6,Yes
4.7,46,49,10,Yes,3,Yes
9.6,46,57,0,Yes,7,Yes
9.88,91,37,10,No,2,Yes
7.39,47,33,6,Yes,6,Yes
9.98,58,39,2,No,4,Yes
7.84,93,67,1,Yes,0,Yes
8.91,30,52,0,No,7,Yes
5.28,41,78,10,Yes,1,Yes
6.81,84,91,2,Yes,5,Yes
6.33,57,81,1,Yes,5,Yes
4.56,96,60,10,No,4,Yes
7.77,84,62,10,Yes,8,Yes
5.61,81,56,10,No,8,Yes
5.0,52,60,7,Yes,6,Yes
7.87,39,37,5,Yes,8,Yes
6.94,94,56,7,No,1,Yes
8.3,98,49,1,Yes,5,Yes
9.87,44,74,0,No,0,Yes
5.38,41,31,6,Yes,8,Yes
7.35,90,62,8,Yes,7,Yes
8.3,89,37,3,No,4,Yes
6.98,75,99,1,No,2,Yes
5.22,97,100,9,Yes,8,Yes
